,name,link,class,province,region
0,Bangued,/wiki/Bangued,Mun,Abra,CAR
1,Boliney,/wiki/Boliney,Mun,Abra,CAR
2,Bucay,"/wiki/Bucay,_Abra",Mun,Abra,CAR
3,Bucloc,/wiki/Bucloc,Mun,Abra,CAR
4,Daguioman,/wiki/Daguioman,Mun,Abra,CAR
5,Danglas,/wiki/Danglas,Mun,Abra,CAR
6,Dolores,"/wiki/Dolores,_Abra",Mun,Abra,CAR
7,La Paz,"/wiki/La_Paz,_Abra",Mun,Abra,CAR
8,Lacub,/wiki/Lacub,Mun,Abra,CAR
9,Lagangilang,/wiki/Lagangilang,Mun,Abra,CAR
10,Lagayan,/wiki/Lagayan,Mun,Abra,CAR
11,Langiden,/wiki/Langiden,Mun,Abra,CAR
12,Licuan-Baay,/wiki/Licuan-Baay,Mun,Abra,CAR
13,Luba,"/wiki/Luba,_Abra",Mun,Abra,CAR
14,Malibcong,/wiki/Malibcong,Mun,Abra,CAR
15,Manabo,/wiki/Manabo,Mun,Abra,CAR
16,Peñarrubia,"/wiki/Pe%C3%B1arrubia,_Abra",Mun,Abra,CAR
17,Pidigan,/wiki/Pidigan,Mun,Abra,CAR
18,Pilar,"/wiki/Pilar,_Abra",Mun,Abra,CAR
19,Sallapadan,/wiki/Sallapadan,Mun,Abra,CAR
20,San Isidro,"/wiki/San_Isidro,_Abra",Mun,Abra,CAR
21,San Juan,"/wiki/San_Juan,_Abra",Mun,Abra,CAR
22,San Quintin,"/wiki/San_Quintin,_Abra",Mun,Abra,CAR
23,Tayum,/wiki/Tayum,Mun,Abra,CAR
24,Tineg,/wiki/Tineg,Mun,Abra,CAR
25,Tubo,"/wiki/Tubo,_Abra",Mun,Abra,CAR
26,Villaviciosa,"/wiki/Villaviciosa,_Abra",Mun,Abra,CAR
27,Buenavista,"/wiki/Buenavista,_Agusan_del_Norte",Mun,Agusan del Norte,XIII
28,Butuan,/wiki/Butuan,HUC,Agusan del Norte,XIII
29,Cabadbaran,/wiki/Cabadbaran,CC,Agusan del Norte,XIII
30,Carmen,"/wiki/Carmen,_Agusan_del_Norte",Mun,Agusan del Norte,XIII
31,Jabonga,/wiki/Jabonga,Mun,Agusan del Norte,XIII
32,Kitcharao,/wiki/Kitcharao,Mun,Agusan del Norte,XIII
33,Las Nieves,"/wiki/Las_Nieves,_Agusan_del_Norte",Mun,Agusan del Norte,XIII
34,Magallanes,"/wiki/Magallanes,_Agusan_del_Norte",Mun,Agusan del Norte,XIII
35,Nasipit,/wiki/Nasipit,Mun,Agusan del Norte,XIII
36,Remedios T. Romualdez,/wiki/Remedios_T._Romualdez,Mun,Agusan del Norte,XIII
37,Santiago,"/wiki/Santiago,_Agusan_del_Norte",Mun,Agusan del Norte,XIII
38,Tubay,/wiki/Tubay,Mun,Agusan del Norte,XIII
39,Bayugan,/wiki/Bayugan,CC,Agusan del Sur,XIII
40,Bunawan,/wiki/Bunawan,Mun,Agusan del Sur,XIII
41,Esperanza,"/wiki/Esperanza,_Agusan_del_Sur",Mun,Agusan del Sur,XIII
42,La Paz,"/wiki/La_Paz,_Agusan_del_Sur",Mun,Agusan del Sur,XIII
43,Loreto,"/wiki/Loreto,_Agusan_del_Sur",Mun,Agusan del Sur,XIII
44,Prosperidad,/wiki/Prosperidad,Mun,Agusan del Sur,XIII
45,Rosario,"/wiki/Rosario,_Agusan_del_Sur",Mun,Agusan del Sur,XIII
46,San Francisco,"/wiki/San_Francisco,_Agusan_del_Sur",Mun,Agusan del Sur,XIII
47,San Luis,"/wiki/San_Luis,_Agusan_del_Sur",Mun,Agusan del Sur,XIII
48,Santa Josefa,/wiki/Santa_Josefa,Mun,Agusan del Sur,XIII
49,Sibagat,/wiki/Sibagat,Mun,Agusan del Sur,XIII
50,Talacogon,/wiki/Talacogon,Mun,Agusan del Sur,XIII
51,Trento,"/wiki/Trento,_Agusan_del_Sur",Mun,Agusan del Sur,XIII
52,Veruela,/wiki/Veruela,Mun,Agusan del Sur,XIII
53,Altavas,/wiki/Altavas,Mun,Aklan,VI
54,Balete,"/wiki/Balete,_Aklan",Mun,Aklan,VI
55,Banga,"/wiki/Banga,_Aklan",Mun,Aklan,VI
56,Batan,"/wiki/Batan,_Aklan",Mun,Aklan,VI
57,Buruanga,/wiki/Buruanga,Mun,Aklan,VI
58,Ibajay,/wiki/Ibajay,Mun,Aklan,VI
59,Kalibo,/wiki/Kalibo,Mun,Aklan,VI
60,Lezo,"/wiki/Lezo,_Aklan",Mun,Aklan,VI
61,Libacao,/wiki/Libacao,Mun,Aklan,VI
62,Madalag,/wiki/Madalag,Mun,Aklan,VI
63,Makato,/wiki/Makato,Mun,Aklan,VI
64,Malay,"/wiki/Malay,_Aklan",Mun,Aklan,VI
65,Malinao,"/wiki/Malinao,_Aklan",Mun,Aklan,VI
66,Nabas,"/wiki/Nabas,_Aklan",Mun,Aklan,VI
67,New Washington,"/wiki/New_Washington,_Aklan",Mun,Aklan,VI
68,Numancia,"/wiki/Numancia,_Aklan",Mun,Aklan,VI
69,Tangalan,/wiki/Tangalan,Mun,Aklan,VI
70,Bacacay,/wiki/Bacacay,Mun,Albay,V
71,Camalig,/wiki/Camalig,Mun,Albay,V
72,Daraga,/wiki/Daraga,Mun,Albay,V
73,Guinobatan,/wiki/Guinobatan,Mun,Albay,V
74,Jovellar,/wiki/Jovellar,Mun,Albay,V
75,Legazpi,"/wiki/Legazpi,_Albay",CC,Albay,V
76,Libon,"/wiki/Libon,_Albay",Mun,Albay,V
77,Ligao,/wiki/Ligao,CC,Albay,V
